artist,bio,listeners,playcount,similar_artist
Bratty,"Bratty is a bedroom pop, garage rock and surf project created in 2017 by Mexican singer-songwriter Jennifer Abigail Juárez Vázquez (born August 2, 2000) in Culiacán, Sinaloa. She has released three studio albums, and her single ""Ropa de bazar"" (in collaboration with Ed Maverick) has received quadruple platinum certification.

In 2017, at the age of 16, Jenny decided to go out of her comfort zone to play in restaurants and venues where musical events of the local culichi scene were held <a href=""https://www.last.fm/music/Bratty"">Read more on Last.fm</a>",130372,2659026,"['Latin mafia', 'Drims', 'Carla Morrison', 'Las Ligas Menores', 'Bruses']"
Morgan,"There are numerous artists and bands under this name:

1) Morgan was a 1970s English progressive rock band. 
MORGAN was formed in the early '70s by two musicians (Morgan Fisher and Maurice Bacon) who had played in the late sixties British pop group The Soul Survivors (a pretty good semi-pro soul band) that became The Love Affair (the hit pop band of ""Everlasting Love"" fame, whose singer Steve Ellis left when he realised that the soul had gone and pop had taken over) and later L. <a href=""https://www.last.fm/music/Morgan"">Read more on Last.fm</a>",116701,1538001,"['Bluvertigo', 'Timoria', 'Afterhours', 'Verdena', 'Marlene Kuntz']"
Juancho Sidecars," <a href=""https://www.last.fm/music/Juancho+Sidecars"">Read more on Last.fm</a>",3,5,[]
Yoly Saa," <a href=""https://www.last.fm/music/Yoly+Saa"">Read more on Last.fm</a>",9121,133391,"['DellaCruz', 'Quique Niza', 'Ainoa Buitrago', 'Almacor', 'st. Pedro']"
Strawberry Guy,"A one-man impressionist, painting majestic soundscapes, Strawberry Guy blends truthful lyrics with lush arrangements to conjure new emotive worlds. Inspired by composers of the Romantic period, or Debussy, Ravel, and other classical artists of the 1800s, his wonderland moves like a Monet painting where arpeggios dance between meadows of dazzling dynamics and dramatic key changes. His innocent uploads of 'Without You' and 'F-Song' comfort 2 million Spotify listeners a month. <a href=""https://www.last.fm/music/Strawberry+Guy"">Read more on Last.fm</a>",1684592,48676838,"['VACATIONS', 'Dream, Ivory', 'Current Joys', 'Oscar Lang', 'saturra']"
Joan Dausà," <a href=""https://www.last.fm/music/Joan+Daus%C3%A0"">Read more on Last.fm</a>",11174,253558,"['Els Catarres', 'Ginestà', 'Blaumut', 'Doctor Prats', 'STAY HOMAS']"
The Tallest Man On Earth,"Kristian Matsson (born 30 April 1983) is a singer-songwriter from Dalarna, Sweden, who performs under the stage name of The Tallest Man on Earth. Matsson grew up in Leksand, and began his solo career in 2006, having previously been the lead singer of the indie band Montezumas. His music has often drawn comparisons to the music of Bob Dylan.

Since 2006, Matsson has released four full-length albums and two EPs. He records and produces these in his home, and usually records his voice and guitar together on one track. <a href=""https://www.last.fm/music/The+Tallest+Man+on+Earth"">Read more on Last.fm</a>",1124170,42018010,"['Iron & Wine', 'Josh Ritter', 'Benjamin Francis Leftwich', 'M. Ward', 'Phosphorescent']"
rusowsky,"Rusowsky is the artistic alter ego behind which Ruslan Mediavilla hides, a young man from Madrid with Belarusian roots and classical musical training. He is one of the representatives of the new underground scene that is flourishing these days thanks to the ease of being able to record songs from home, without having large technological means. <a href=""https://www.last.fm/music/Rusowsky"">Read more on Last.fm</a>",320414,13352051,"['Sen Senra', 'Judeline', 'pablopablo', 'C. Tangana', 'nusar3000']"
River Whyless,"River Whyless is an American folk rock band from Asheville, North Carolina, United States. The band is made up of Ryan O'Keefe (vocals, guitar), Halli Anderson (vocals, violin), Daniel Shearin (vocals, bass) and Alex McWalters (drums, percussion). 

Formerly known as Do It To Julia, the band was originally formed at Appalachian State University in 2006. As River Whyless, they have released four full-length studio albums: A Stone, a Leaf, an Unfound Door (2012), We All the Light (2016), Kindness, A Rebel (2018), and Monoflora (2022). <a href=""https://www.last.fm/music/River+Whyless"">Read more on Last.fm</a>",298119,2795297,"['Jesse Woods', 'John Vincent III', 'Richy Mitch & The Coal Miners', 'The Ballroom Thieves', 'Gregory Alan Isakov']"
Yameii,"ITS yameii online !!! <a href=""https://www.last.fm/music/yameii"">Read more on Last.fm</a>",3968,40335,"['PHOTON SCOOTER', 'No Error', 'OSEAN WORLD', 'YAMEII - IRRELEVANT', 'Destroylonely']"
Jitwam,"Jitwam is an India-born Australia-raised producer and singer currently based between New York and London. <a href=""https://www.last.fm/music/Jitwam"">Read more on Last.fm</a>",445055,3674361,"['Dan Kye', 'Romare', 'Tour-Maubourg', 'Laurence Guy', 'Folamour']"
Tora,"There is more than one artist that uses the name Tora:

1. TORA are an Alt/Electronica, Indie/Pop 5 piece from Byron Bay, Australia. The EP ""TΩRA"" was released on 7/10/2013 and is available through their bandcamp page.

Bandcamp: https://toramusic.bandcamp.com/
Facebook: https://www.facebook.com/Toramusic

2.  Tora is an alias of 虹釜太郎, Japanese experimental artist who released on Shi-Ra-Nui (不知火)

3. TORA FISHER – SPILLING OVER (2012 BIO) <a href=""https://www.last.fm/music/Tora"">Read more on Last.fm</a>",332819,3388532,"['Jitwam', 'Leifur James', 'mindchatter', 'Romare', 'The Undercover Dream Lovers']"
WAYNE SNOW,"Nigerian-born, Berlin-based neo-soul vocalist and songwriter released his debut album Freedom TV on March 23, 2017 on Tartelet Records. Freedom TV is the natural sequel to the Max Graef-produced tasters Red Runner (2014) and Rosie (2015); a project marinated in Afro-Caribbean, soulful grooves and topped by Wayne’s effortless falsetto acrobatics. 

Freedom TV is an album with themes of liberty, struggle and creative identity pumping through its veins. <a href=""https://www.last.fm/music/Wayne+Snow"">Read more on Last.fm</a>",68144,420869,"['Oscar Jerome', 'Dan Kye', 'Richard Spaven', 'Yazmin Lacey', 'Two Another']"
Maria Rodés," <a href=""https://www.last.fm/music/+noredirect/Maria+Rod%C3%A9s"">Read more on Last.fm</a>",19440,210510,"['Espaldamaceta', 'Joan Colomo', 'Maria Coma', 'The New Raemon', 'Maria Rodés Y La Estrella de David']"
ELYELLA," <a href=""https://www.last.fm/music/ELYELLA"">Read more on Last.fm</a>",21651,318620,"['Comandante Twin', 'Ultraligera', 'Carmen 113', 'Héroes 2020', 'Melifluo']"
Luis Eduardo Aute,"Performer of a music style known as Canto Nuevo or Nueva Trova, Luis Eduardo Aute has been an artist in many different ways. It was in 1954 when Aute moved to Spain, after spending his childhood in the Philippines. Deciding to become an artist, Luis Eduardo Aute's first passion was painting, having his first exhibition in 1960, while living in Madrid. By the mid-'60s, the painter and poet was convinced to start recording his own music and he signed up to RCA in 1966. <a href=""https://www.last.fm/music/Luis+Eduardo+Aute"">Read more on Last.fm</a>",91578,1205012,"['Alejandro Filio', 'Joan Manuel Serrat', 'Joaquín Sabina', 'Pedro Guerra', 'Pablo Milanés']"
Biig Piig,"Jessica Smyth, known by the stage name Biig Piig, is an Irish singer and rapper, based in West London. She performs in English and Spanish and is signed to RCA Records. Smyth was born in Cork, Ireland. She lived in Spain from the age of four to twelve, after her family had moved on advice that the climate would be better for her brother's asthma. Upon moving with her family back to Ireland, she was at first able to read and write only in Spanish and had to reintegrate into Irish culture. <a href=""https://www.last.fm/music/Biig+Piig"">Read more on Last.fm</a>",473180,6970225,"['Lava La Rue', 'Greentea Peng', 'Arlo Parks', 'Hope Tala', 'Låpsley']"
Sílvia Pérez Cruz,"Sílvia Pérez Cruz (born 15 February 1983, Palafrugell, Costa Brava, Spain) is a singer in different styles.
At 18, she went to the Catalonia College of Music in Barcelona. While she was studying, she and three other women formed a flamenco group called Las Migas. 
Between 2001 and 2011 she performed in more than 10 different groups with different music styles. 
In 2012, she released her first solo album, 11 De Noviembre, which went for gold. The album was co-produced by Raul Fernandez, whom she knew since 2006.  <a href=""https://www.last.fm/music/+noredirect/S%C3%ADlvia+P%C3%A9rez+Cruz"">Read more on Last.fm</a>",55092,857327,"['Estrella Morente', 'Buika', 'Soleá Morente', 'Rozalén', 'India Martínez']"
Richy Mitch & The Coal Miners,"Richy Mitch & The Coal Miners is a modern folk rock band that originated in Colorado Springs, Colorado, in 2015. The band, consisting of longtime friends Mitch Cutts, Nic Haughn, Jakob Ervin, and formerly Ryan Lavallee and Dylan Schneider, later relocated to a home studio in Bozeman, Montana. Their journey began informally in 2015 when Nic and Mitch, who played a lot of Guitar Hero, decided to learn real instruments and form the band.

Mitch serves as the band's vocalist and songwriter <a href=""https://www.last.fm/music/Richy+Mitch+&+The+Coal+Miners"">Read more on Last.fm</a>",1279861,20783130,"['John Vincent III', 'Mt. Joy', 'Caamp', 'Chance Peña', 'Hans Williams']"
Siddhartha,"There have been a number of artists going by the name of Siddhartha:
(1)  A screamo band from Memphis, TN
(2) A progressive rock / psychedelic rock band formed in Istanbul, Turkey in 90s and disbanded in 2001
(3) A German progressive rock band of the 70s
(4) A singer-songwriter from Mexico
(5) A young Polish reggae band from Wrocław

Siddhartha (1)
Siddhartha was a screamo band from Memphis, TN that existed from December 2011 to June 2013. In June 2012, they digitally released a four song EP entitled Subject to Change. <a href=""https://www.last.fm/music/Siddhartha"">Read more on Last.fm</a>",147020,6626950,"['Jumbo', 'Diles que no me maten', 'León Larregui', 'Camilo Séptimo', 'Technicolor Fabrics']"
Faye Webster,"Faye Webster is an American folk singer and photographer based in Atlanta, Georgia. Webster was first signed to Awful Records, with whom she released her sophomore self-titled album in 2017. Webster signed to the record label Secretly Canadian in late 2018 and released her second full-length album, Atlanta Millionaires Club, in 2019.

After attending Nashville’s Belmont University for a semester, the Atlanta-native decided to pursue a music career back home. <a href=""https://www.last.fm/music/Faye+Webster"">Read more on Last.fm</a>",1752751,131277725,"['Alice Phoebe Lou', 'Adrianne Lenker', 'Leith Ross', 'Phoebe Bridgers', 'Julia Jacklin']"
Comandante Twin," <a href=""https://www.last.fm/music/Comandante+Twin"">Read more on Last.fm</a>",4844,39777,"['Carmen 113', 'Ultraligera', 'ELYELLA', 'Embusteros', 'Héroes 2020']"
Kany García,"Encarnita ""Kany"" García De Jesus (born September 25, 1982 in Toa Baja, Puerto Rico) is a Puerto Rican singer-songwriter. García first appeared on television in 2004 as a contestant on Objetivo Fama. She is widely considered the most successful non-winner in the history of the show.

Kany García is born to a Spaniard father and Puerto Rican mother. García's father, Antonio, who gave up the priesthood when he met Shela, Encarnita García de Jesús, or Kany, grew up in a house where music was not only played, but also lived. <a href=""https://www.last.fm/music/+noredirect/Kany+Garc%C3%ADa"">Read more on Last.fm</a>",119308,1779257,"['HA-ASH', 'Fonseca', 'Jesse & Joy', 'Yuridia', 'Greeicy']"
El Miedo," <a href=""https://www.last.fm/music/El+miedo"">Read more on Last.fm</a>",25,66,[]
Cecilia,"There are at least four artists called Cecilia.

1) Cecilia (born Evangelina Sobredo; October 11, 1948 - August 2, 1976) was a Spanish singer/songwriter. Due to her father's work as a diplomat, her first language was English and lived in several countries during her childhood, such as Portugal, Israel, United Kingdom or United States. She decided to relocate to Spain in the 1960's, where she got her degree in Law Studies before pursuing a career in music. <a href=""https://www.last.fm/music/Cecilia"">Read more on Last.fm</a>",57835,584077,"['Mari Trini', 'Massiel', 'Myriam Hernández', 'Mecano', 'Zahara']"
Phosphorescent,"Phosphorescent is the solo project of American musician and songwriter Matthew Houck (born 1980 in Alabama). Houck began recording and performing under this nom de plume in 2001 in Athens, Georgia, USA. He is currently based in Nashville, Tennessee.

Before recording under the name Phosphorescent, Houck traveled the world playing under the moniker Fillup Shack and, in 2000, self-released a limited pressing of the album ""Hipolit"". In 2001 Houck changed his recording name to Phosphorescent <a href=""https://www.last.fm/music/Phosphorescent"">Read more on Last.fm</a>",697270,11364509,"['Strand of Oaks', 'Damien Jurado', 'M. Ward', 'Kevin Morby', 'The Tallest Man on Earth']"
Chicho Sánchez Ferlosio,"José Antonio Julio Sanchez Ferlosio Onesimus (April 8, 1940 - July 1, 2003), better known as Chicho Sánchez Ferlosio was a Spanish anarchist, poet and songwriter. Many of his songs have been performed by a variety of artists such as Rolando Alarcón, Joan Baez, Soledad Bravo, Victor Jara or the band Quilapayún. Some, like ""Gallo rojo, gallo negro""  ""A la huelga"" or ""La paloma de la paz,"" which were published anonymously during the Francoist dictatorship, have become part of the popular folksong tradition.  <a href=""https://www.last.fm/music/Chicho+S%C3%A1nchez+Ferlosio"">Read more on Last.fm</a>",5045,62944,"['Coro Popular Jabalón', 'Paco Ibáñez', 'Amancio Prada', 'Pablo Guerrero', 'Frente popular']"
Georgina,"There are multiple acts named Georgina: 1) Georgina Verbaan, known simply as Georgina, a Dutch pop singer and television personality who secured five entries in the Dutch charts in the early 2000s; 2) a Venezuelan-born Spanish singer.

1) Georgina Verbaan, known simply as Georgina, became known in the late 90s as a soap opera actress in the Netherlands. She released her debut single ""If You Want Me"" in 2000, and in 2001 her biggest hit, ""Ritmo!"", reached the top 10 in the Dutch singles chart. Her debut album 'Sugar Spider' came out in 2002. <a href=""https://www.last.fm/music/Georgina"">Read more on Last.fm</a>",24077,279486,"['María Villalón', 'El Pescao', 'La Musicalité', 'Pol 3.14', 'Mäbu']"
Rozalén,"María de los Ángeles Rozalén Ortuño known as Rozalén (Albacete, June 12, 1986) is a Spanish singer-songwriter and guitarist.  <a href=""https://www.last.fm/music/+noredirect/Rozal%C3%A9n"">Read more on Last.fm</a>",49956,796141,"['Conchita', 'Amaral', 'Valeria Castro', 'Vanesa Martín', 'Ana Belén']"
The Paper Kites,"The Paper Kites are a folk rock band from Melbourne, Australia, formed in 2010. The band consists of Sam Bentley (lead vocals, guitar), Christina Lacy (keyboard, guitar), David Powys (guitar), Samuel Rasmussen (bass), and Josh Bentley (drums). Sam Bentley and Christina Lacy established the band, having been friends and musical collaborators since high school. Their performances in Melbourne was leading to the addition of David Powys on guitar and banjo, Sam Rasmussen on bass and synth, and Josh Bentley on drums to complete the lineup in 2010. <a href=""https://www.last.fm/music/The+Paper+Kites"">Read more on Last.fm</a>",1162301,26286479,"['Gregory Alan Isakov', 'Dustin Tebbutt', 'Hollow Coves', 'Harrison Storm', 'Ocie Elliott']"
Beach House,"Beach House is an American dream pop band originating from Baltimore, Maryland, United States. The group was formed in 2004 by Victoria Legrand  (vocals, organ), who is the niece of French composer Michel Legrand, Alex Scally (backing vocals, guitar), As of 2022, James Barone (drums, percussion, bass guitar) has been listed as the official third member of the band. Since their formation, the group has released eight studio albums: Beach House (2006) <a href=""https://www.last.fm/music/Beach+House"">Read more on Last.fm</a>",3468944,240096471,"['Alvvays', 'Slowdive', ""Melody's Echo Chamber"", 'Cemeteries', 'Mazzy Star']"
Rex Orange County,"Alexander James O'Connor (born 4 May 1998), known professionally as Rex Orange County, is an English singer, multi-instrumentalist, and songwriter. O'Connor rose to prominence in 2017 following multiple features on Tyler, the Creator's Grammy-nominated album Flower Boy, including the single ""Boredom"". NPR Music journalist Zoë Jones has described O'Connor's music as ""a bright blend of hip-hop, jazz, and bedroom pop”.

Under the Rex Orange County moniker <a href=""https://www.last.fm/music/Rex+Orange+County"">Read more on Last.fm</a>",2022244,123286716,"['Daniel Caesar', 'boy pablo', 'Omar Apollo', 'Bruno Major', 'Paul Partohap']"
Clara Montes," <a href=""https://www.last.fm/music/Clara+Montes"">Read more on Last.fm</a>",5122,37216,"['Pasión Vega', 'Carlos Cano', 'Carmen París', 'Diana Navarro', 'Alba Molina']"
Mäbu," <a href=""https://www.last.fm/music/+noredirect/M%C3%A4bu"">Read more on Last.fm</a>",13512,208402,"['Los Seis Días', 'La Sonrisa De Julia', 'Georgina', 'Ruidoblanco', 'Jero Romero']"
Danger Mouse,"Brian Joseph Burton, better known by his stage name Danger Mouse, (born July 29, 1977 in White Plains, New York) is an American artist and producer. He came to prominence in 2004 when he released The Grey Album, which combined a cappellas from Jay-Z's The Black Album with instrumentals from the album The Beatles (also known as The White Album).

He formed Gnarls Barkley with Cee Lo Green and produced their albums St. Elsewhere and The Odd Couple. He produced the second Gorillaz album <a href=""https://www.last.fm/music/Danger+Mouse"">Read more on Last.fm</a>",801992,14215340,"['Black Thought', 'Freddie Gibbs', 'DANGERDOOM', 'Boldy James', 'Clipse']"
